"","Survived","Pclass","Sex","Age","Fare","Segment_edat","Segment_tarifa","Segment_majors_menors"
"235","0","2","male",24,10.5,"20-30","10-15","Major d'edat"
"237","0","2","male",44,26,"40-50","15-30","Major d'edat"
"238","1","2","female",8,26.25,"0-10","15-30","Menor d'edat"
"239","0","2","male",19,10.5,"10-20","10-15","Major d'edat"
"240","0","2","male",33,12.275,"30-40","10-15","Major d'edat"
"243","0","2","male",29,10.5,"20-30","10-15","Major d'edat"
"244","0","3","male",22,7.125,"20-30","7-10","Major d'edat"
"245","0","3","male",30,7.225,"20-30","7-10","Major d'edat"
"246","0","1","male",44,90,"40-50","50-200","Major d'edat"
"247","0","3","female",25,7.775,"20-30","7-10","Major d'edat"
"248","1","2","female",24,14.5,"20-30","10-15","Major d'edat"
"249","1","1","male",37,52.5542,"30-40","50-200","Major d'edat"
"250","0","2","male",54,26,"50-60","15-30","Major d'edat"
"252","0","3","female",29,10.4625,"20-30","10-15","Major d'edat"
"253","0","1","male",62,26.55,"60-70","15-30","Major d'edat"
"254","0","3","male",30,16.1,"20-30","15-30","Major d'edat"
"255","0","3","female",41,20.2125,"40-50","15-30","Major d'edat"
"256","1","3","female",29,15.2458,"20-30","15-30","Major d'edat"
"258","1","1","female",30,86.5,"20-30","50-200","Major d'edat"
"259","1","1","female",35,512.3292,"30-40","200-600","Major d'edat"
"260","1","2","female",50,26,"40-50","15-30","Major d'edat"
"262","1","3","male",3,31.3875,"0-10","30-50","Menor d'edat"
"263","0","1","male",52,79.65,"50-60","50-200","Major d'edat"
"264","0","1","male",40,0,"30-40",NA,"Major d'edat"
"266","0","2","male",36,10.5,"30-40","10-15","Major d'edat"
"267","0","3","male",16,39.6875,"10-20","30-50","Menor d'edat"
"268","1","3","male",25,7.775,"20-30","7-10","Major d'edat"
"269","1","1","female",58,153.4625,"50-60","50-200","Major d'edat"
"270","1","1","female",35,135.6333,"30-40","50-200","Major d'edat"
"272","1","3","male",25,0,"20-30",NA,"Major d'edat"
"273","1","2","female",41,19.5,"40-50","15-30","Major d'edat"
"274","0","1","male",37,29.7,"30-40","15-30","Major d'edat"
"276","1","1","female",63,77.9583,"60-70","50-200","Major d'edat"
"277","0","3","female",45,7.75,"40-50","7-10","Major d'edat"
"279","0","3","male",7,29.125,"0-10","15-30","Menor d'edat"
"280","1","3","female",35,20.25,"30-40","15-30","Major d'edat"
"281","0","3","male",65,7.75,"60-70","7-10","Major d'edat"
"282","0","3","male",28,7.8542,"20-30","7-10","Major d'edat"
"283","0","3","male",16,9.5,"10-20","7-10","Menor d'edat"
"284","1","3","male",19,8.05,"10-20","7-10","Major d'edat"
"286","0","3","male",33,8.6625,"30-40","7-10","Major d'edat"
"287","1","3","male",30,9.5,"20-30","7-10","Major d'edat"
"288","0","3","male",22,7.8958,"20-30","7-10","Major d'edat"
"289","1","2","male",42,13,"40-50","10-15","Major d'edat"
"290","1","3","female",22,7.75,"20-30","7-10","Major d'edat"
"291","1","1","female",26,78.85,"20-30","50-200","Major d'edat"
"292","1","1","female",19,91.0792,"10-20","50-200","Major d'edat"
"293","0","2","male",36,12.875,"30-40","10-15","Major d'edat"
"294","0","3","female",24,8.85,"20-30","7-10","Major d'edat"
"295","0","3","male",24,7.8958,"20-30","7-10","Major d'edat"
"298","0","1","female",2,151.55,"0-10","50-200","Menor d'edat"
"300","1","1","female",50,247.5208,"40-50","200-600","Major d'edat"
"303","0","3","male",19,0,"10-20",NA,"Major d'edat"
"308","1","1","female",17,108.9,"10-20","50-200","Menor d'edat"
"309","0","2","male",30,24,"20-30","15-30","Major d'edat"
"310","1","1","female",30,56.9292,"20-30","50-200","Major d'edat"
"311","1","1","female",24,83.1583,"20-30","50-200","Major d'edat"
"312","1","1","female",18,262.375,"10-20","200-600","Menor d'edat"
"313","0","2","female",26,26,"20-30","15-30","Major d'edat"
"314","0","3","male",28,7.8958,"20-30","7-10","Major d'edat"
"315","0","2","male",43,26.25,"40-50","15-30","Major d'edat"
"316","1","3","female",26,7.8542,"20-30","7-10","Major d'edat"
"317","1","2","female",24,26,"20-30","15-30","Major d'edat"
"318","0","2","male",54,14,"50-60","10-15","Major d'edat"
"319","1","1","female",31,164.8667,"30-40","50-200","Major d'edat"
"320","1","1","female",40,134.5,"30-40","50-200","Major d'edat"
"321","0","3","male",22,7.25,"20-30","7-10","Major d'edat"
"322","0","3","male",27,7.8958,"20-30","7-10","Major d'edat"
"323","1","2","female",30,12.35,"20-30","10-15","Major d'edat"
"324","1","2","female",22,29,"20-30","15-30","Major d'edat"
"326","1","1","female",36,135.6333,"30-40","50-200","Major d'edat"
"327","0","3","male",61,6.2375,"60-70","0-7","Major d'edat"
"328","1","2","female",36,13,"30-40","10-15","Major d'edat"
"329","1","3","female",31,20.525,"30-40","15-30","Major d'edat"
"330","1","1","female",16,57.9792,"10-20","50-200","Menor d'edat"
"333","0","1","male",38,153.4625,"30-40","50-200","Major d'edat"
"334","0","3","male",16,18,"10-20","15-30","Menor d'edat"
"337","0","1","male",29,66.6,"20-30","50-200","Major d'edat"
"338","1","1","female",41,134.5,"40-50","50-200","Major d'edat"
"339","1","3","male",45,8.05,"40-50","7-10","Major d'edat"
"340","0","1","male",45,35.5,"40-50","30-50","Major d'edat"
"341","1","2","male",2,26,"0-10","15-30","Menor d'edat"
"342","1","1","female",24,263,"20-30","200-600","Major d'edat"
"343","0","2","male",28,13,"20-30","10-15","Major d'edat"
"344","0","2","male",25,13,"20-30","10-15","Major d'edat"
"345","0","2","male",36,13,"30-40","10-15","Major d'edat"
"346","1","2","female",24,13,"20-30","10-15","Major d'edat"
"347","1","2","female",40,13,"30-40","10-15","Major d'edat"
"349","1","3","male",3,15.9,"0-10","15-30","Menor d'edat"
"350","0","3","male",42,8.6625,"40-50","7-10","Major d'edat"
"351","0","3","male",23,9.225,"20-30","7-10","Major d'edat"
"353","0","3","male",15,7.2292,"10-20","7-10","Menor d'edat"
"354","0","3","male",25,17.8,"20-30","15-30","Major d'edat"
"356","0","3","male",28,9.5,"20-30","7-10","Major d'edat"
"357","1","1","female",22,55,"20-30","50-200","Major d'edat"
"358","0","2","female",38,13,"30-40","10-15","Major d'edat"
"361","0","3","male",40,27.9,"30-40","15-30","Major d'edat"
"362","0","2","male",29,27.7208,"20-30","15-30","Major d'edat"
"363","0","3","female",45,14.4542,"40-50","10-15","Major d'edat"
"364","0","3","male",35,7.05,"30-40","7-10","Major d'edat"
"366","0","3","male",30,7.25,"20-30","7-10","Major d'edat"
"367","1","1","female",60,75.25,"50-60","50-200","Major d'edat"
"370","1","1","female",24,69.3,"20-30","50-200","Major d'edat"
"371","1","1","male",25,55.4417,"20-30","50-200","Major d'edat"
"372","0","3","male",18,6.4958,"10-20","0-7","Menor d'edat"
"373","0","3","male",19,8.05,"10-20","7-10","Major d'edat"
"374","0","1","male",22,135.6333,"20-30","50-200","Major d'edat"
"375","0","3","female",3,21.075,"0-10","15-30","Menor d'edat"
"377","1","3","female",22,7.25,"20-30","7-10","Major d'edat"
"378","0","1","male",27,211.5,"20-30","200-600","Major d'edat"
"379","0","3","male",20,4.0125,"10-20","0-7","Major d'edat"
"380","0","3","male",19,7.775,"10-20","7-10","Major d'edat"
"381","1","1","female",42,227.525,"40-50","200-600","Major d'edat"
"382","1","3","female",1,15.7417,"0-10","15-30","Menor d'edat"
"383","0","3","male",32,7.925,"30-40","7-10","Major d'edat"
"384","1","1","female",35,52,"30-40","50-200","Major d'edat"
"386","0","2","male",18,73.5,"10-20","50-200","Menor d'edat"
"387","0","3","male",1,46.9,"0-10","30-50","Menor d'edat"
"388","1","2","female",36,13,"30-40","10-15","Major d'edat"
"390","1","2","female",17,12,"10-20","10-15","Menor d'edat"
"391","1","1","male",36,120,"30-40","50-200","Major d'edat"
"392","1","3","male",21,7.7958,"20-30","7-10","Major d'edat"
"393","0","3","male",28,7.925,"20-30","7-10","Major d'edat"
"394","1","1","female",23,113.275,"20-30","50-200","Major d'edat"
"395","1","3","female",24,16.7,"20-30","15-30","Major d'edat"
"396","0","3","male",22,7.7958,"20-30","7-10","Major d'edat"
"397","0","3","female",31,7.8542,"30-40","7-10","Major d'edat"
"398","0","2","male",46,26,"40-50","15-30","Major d'edat"
"399","0","2","male",23,10.5,"20-30","10-15","Major d'edat"
"400","1","2","female",28,12.65,"20-30","10-15","Major d'edat"
"401","1","3","male",39,7.925,"30-40","7-10","Major d'edat"
"402","0","3","male",26,8.05,"20-30","7-10","Major d'edat"
"403","0","3","female",21,9.825,"20-30","7-10","Major d'edat"
"404","0","3","male",28,15.85,"20-30","15-30","Major d'edat"
"405","0","3","female",20,8.6625,"10-20","7-10","Major d'edat"
"406","0","2","male",34,21,"30-40","15-30","Major d'edat"
"407","0","3","male",51,7.75,"50-60","7-10","Major d'edat"
"408","1","2","male",3,18.75,"0-10","15-30","Menor d'edat"
"409","0","3","male",21,7.775,"20-30","7-10","Major d'edat"
"413","1","1","female",33,90,"30-40","50-200","Major d'edat"
"415","1","3","male",44,7.925,"40-50","7-10","Major d'edat"
"417","1","2","female",34,32.5,"30-40","30-50","Major d'edat"
"418","1","2","female",18,13,"10-20","10-15","Menor d'edat"
"419","0","2","male",30,13,"20-30","10-15","Major d'edat"
"420","0","3","female",10,24.15,"0-10","15-30","Menor d'edat"
"422","0","3","male",21,7.7333,"20-30","7-10","Major d'edat"
"423","0","3","male",29,7.875,"20-30","7-10","Major d'edat"
"424","0","3","female",28,14.4,"20-30","10-15","Major d'edat"
"425","0","3","male",18,20.2125,"10-20","15-30","Menor d'edat"
"427","1","2","female",28,26,"20-30","15-30","Major d'edat"
"428","1","2","female",19,26,"10-20","15-30","Major d'edat"
"430","1","3","male",32,8.05,"30-40","7-10","Major d'edat"
"431","1","1","male",28,26.55,"20-30","15-30","Major d'edat"
"433","1","2","female",42,26,"40-50","15-30","Major d'edat"
"434","0","3","male",17,7.125,"10-20","7-10","Menor d'edat"
"435","0","1","male",50,55.9,"40-50","50-200","Major d'edat"
"436","1","1","female",14,120,"10-20","50-200","Menor d'edat"
"437","0","3","female",21,34.375,"20-30","30-50","Major d'edat"
"438","1","2","female",24,18.75,"20-30","15-30","Major d'edat"
"439","0","1","male",64,263,"60-70","200-600","Major d'edat"
"440","0","2","male",31,10.5,"30-40","10-15","Major d'edat"
"441","1","2","female",45,26.25,"40-50","15-30","Major d'edat"
"442","0","3","male",20,9.5,"10-20","7-10","Major d'edat"
"443","0","3","male",25,7.775,"20-30","7-10","Major d'edat"
"444","1","2","female",28,13,"20-30","10-15","Major d'edat"
"446","1","1","male",4,81.8583,"0-10","50-200","Menor d'edat"
"447","1","2","female",13,19.5,"10-20","15-30","Menor d'edat"
"448","1","1","male",34,26.55,"30-40","15-30","Major d'edat"
"449","1","3","female",5,19.2583,"0-10","15-30","Menor d'edat"
"450","1","1","male",52,30.5,"50-60","30-50","Major d'edat"
"451","0","2","male",36,27.75,"30-40","15-30","Major d'edat"
"453","0","1","male",30,27.75,"20-30","15-30","Major d'edat"
"454","1","1","male",49,89.1042,"40-50","50-200","Major d'edat"
"456","1","3","male",29,7.8958,"20-30","7-10","Major d'edat"
"457","0","1","male",65,26.55,"60-70","15-30","Major d'edat"
"459","1","2","female",50,10.5,"40-50","10-15","Major d'edat"
"461","1","1","male",48,26.55,"40-50","15-30","Major d'edat"
"462","0","3","male",34,8.05,"30-40","7-10","Major d'edat"
"463","0","1","male",47,38.5,"40-50","30-50","Major d'edat"
"464","0","2","male",48,13,"40-50","10-15","Major d'edat"
"466","0","3","male",38,7.05,"30-40","7-10","Major d'edat"
"468","0","1","male",56,26.55,"50-60","15-30","Major d'edat"
"472","0","3","male",38,8.6625,"30-40","7-10","Major d'edat"
"473","1","2","female",33,27.75,"30-40","15-30","Major d'edat"
"474","1","2","female",23,13.7917,"20-30","10-15","Major d'edat"
"475","0","3","female",22,9.8375,"20-30","7-10","Major d'edat"
"477","0","2","male",34,21,"30-40","15-30","Major d'edat"
"478","0","3","male",29,7.0458,"20-30","7-10","Major d'edat"
"479","0","3","male",22,7.5208,"20-30","7-10","Major d'edat"
"480","1","3","female",2,12.2875,"0-10","10-15","Menor d'edat"
"481","0","3","male",9,46.9,"0-10","30-50","Menor d'edat"
"483","0","3","male",50,8.05,"40-50","7-10","Major d'edat"
"484","1","3","female",63,9.5875,"60-70","7-10","Major d'edat"
"485","1","1","male",25,91.0792,"20-30","50-200","Major d'edat"
"487","1","1","female",35,90,"30-40","50-200","Major d'edat"
"488","0","1","male",58,29.7,"50-60","15-30","Major d'edat"
"489","0","3","male",30,8.05,"20-30","7-10","Major d'edat"
"490","1","3","male",9,15.9,"0-10","15-30","Menor d'edat"
"492","0","3","male",21,7.25,"20-30","7-10","Major d'edat"
"493","0","1","male",55,30.5,"50-60","30-50","Major d'edat"
"494","0","1","male",71,49.5042,"70-79","30-50","Major d'edat"
"495","0","3","male",21,8.05,"20-30","7-10","Major d'edat"
"497","1","1","female",54,78.2667,"50-60","50-200","Major d'edat"
"499","0","1","female",25,151.55,"20-30","50-200","Major d'edat"
"500","0","3","male",24,7.7958,"20-30","7-10","Major d'edat"
"501","0","3","male",17,8.6625,"10-20","7-10","Menor d'edat"
"502","0","3","female",21,7.75,"20-30","7-10","Major d'edat"
"504","0","3","female",37,9.5875,"30-40","7-10","Major d'edat"
"505","1","1","female",16,86.5,"10-20","50-200","Menor d'edat"
"506","0","1","male",18,108.9,"10-20","50-200","Menor d'edat"
"507","1","2","female",33,26,"30-40","15-30","Major d'edat"
"509","0","3","male",28,22.525,"20-30","15-30","Major d'edat"
"510","1","3","male",26,56.4958,"20-30","50-200","Major d'edat"
"511","1","3","male",29,7.75,"20-30","7-10","Major d'edat"
"513","1","1","male",36,26.2875,"30-40","15-30","Major d'edat"
"514","1","1","female",54,59.4,"50-60","50-200","Major d'edat"
"515","0","3","male",24,7.4958,"20-30","7-10","Major d'edat"
"516","0","1","male",47,34.0208,"40-50","30-50","Major d'edat"
"517","1","2","female",34,10.5,"30-40","10-15","Major d'edat"
"519","1","2","female",36,26,"30-40","15-30","Major d'edat"
"520","0","3","male",32,7.8958,"30-40","7-10","Major d'edat"
"521","1","1","female",30,93.5,"20-30","50-200","Major d'edat"
"522","0","3","male",22,7.8958,"20-30","7-10","Major d'edat"
"524","1","1","female",44,57.9792,"40-50","50-200","Major d'edat"
"527","1","2","female",50,10.5,"40-50","10-15","Major d'edat"
"529","0","3","male",39,7.925,"30-40","7-10","Major d'edat"
"530","0","2","male",23,11.5,"20-30","10-15","Major d'edat"
"531","1","2","female",2,26,"0-10","15-30","Menor d'edat"
"533","0","3","male",17,7.2292,"10-20","7-10","Menor d'edat"
"535","0","3","female",30,8.6625,"20-30","7-10","Major d'edat"
"536","1","2","female",7,26.25,"0-10","15-30","Menor d'edat"
"537","0","1","male",45,26.55,"40-50","15-30","Major d'edat"
"538","1","1","female",30,106.425,"20-30","50-200","Major d'edat"
"540","1","1","female",22,49.5,"20-30","30-50","Major d'edat"
"541","1","1","female",36,71,"30-40","50-200","Major d'edat"
"542","0","3","female",9,31.275,"0-10","30-50","Menor d'edat"
"543","0","3","female",11,31.275,"10-20","30-50","Menor d'edat"
"544","1","2","male",32,26,"30-40","15-30","Major d'edat"
"545","0","1","male",50,106.425,"40-50","50-200","Major d'edat"
"546","0","1","male",64,26,"60-70","15-30","Major d'edat"
"547","1","2","female",19,26,"10-20","15-30","Major d'edat"
"549","0","3","male",33,20.525,"30-40","15-30","Major d'edat"
"550","1","2","male",8,36.75,"0-10","30-50","Menor d'edat"
"551","1","1","male",17,110.8833,"10-20","50-200","Menor d'edat"
"552","0","2","male",27,26,"20-30","15-30","Major d'edat"
"554","1","3","male",22,7.225,"20-30","7-10","Major d'edat"
"555","1","3","female",22,7.775,"20-30","7-10","Major d'edat"
"556","0","1","male",62,26.55,"60-70","15-30","Major d'edat"
"557","1","1","female",48,39.6,"40-50","30-50","Major d'edat"
"559","1","1","female",39,79.65,"30-40","50-200","Major d'edat"
"560","1","3","female",36,17.4,"30-40","15-30","Major d'edat"
"562","0","3","male",40,7.8958,"30-40","7-10","Major d'edat"
"563","0","2","male",28,13.5,"20-30","10-15","Major d'edat"
"566","0","3","male",24,24.15,"20-30","15-30","Major d'edat"
"567","0","3","male",19,7.8958,"10-20","7-10","Major d'edat"
